time,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,snowfall,surface_pressure,cloud_cover,windspeed_10m,winddirection_10m,shortwave_radiation,direct_radiation,diffuse_radiation,global_tilted_irradiance
2020-11-08 00:00:00,10.3,88,8.4,8.4,0.0,0.0,0.0,1010.2,0,10.0,244,0.0,0.0,0.0,0.0
2020-11-08 01:00:00,9.9,89,8.1,8.1,0.0,0.0,0.0,1010.1,0,9.4,247,0.0,0.0,0.0,0.0
2020-11-08 02:00:00,9.7,88,7.8,7.8,0.0,0.0,0.0,1010.1,0,9.1,252,0.0,0.0,0.0,0.0
2020-11-08 03:00:00,9.3,88,7.4,7.3,0.0,0.0,0.0,1009.9,0,9.0,270,0.0,0.0,0.0,0.0
2020-11-08 04:00:00,8.8,89,7.2,6.9,0.0,0.0,0.0,1010.0,0,8.6,285,0.0,0.0,0.0,0.0
2020-11-08 05:00:00,8.5,90,7.0,6.6,0.0,0.0,0.0,1010.4,0,8.2,293,0.0,0.0,0.0,0.0
2020-11-08 06:00:00,8.2,91,6.8,6.2,0.0,0.0,0.0,1010.8,0,8.1,283,0.0,0.0,0.0,0.0
2020-11-08 07:00:00,8.0,93,7.0,6.3,0.0,0.0,0.0,1011.8,0,7.0,291,1.0,0.0,1.0,1.0
2020-11-08 08:00:00,10.7,87,8.7,9.3,0.0,0.0,0.0,1012.6,0,7.1,294,87.0,57.0,30.0,87.0
2020-11-08 09:00:00,13.8,79,10.2,13.3,0.0,0.0,0.0,1013.2,0,4.5,299,250.0,194.0,56.0,250.0
2020-11-08 10:00:00,16.8,70,11.4,16.7,0.0,0.0,0.0,1013.4,0,3.6,307,397.0,329.0,68.0,397.0
2020-11-08 11:00:00,19.1,64,12.1,19.4,0.0,0.0,0.0,1013.4,0,2.5,315,502.0,428.0,74.0,502.0
2020-11-08 12:00:00,20.6,62,12.9,21.3,0.0,0.0,0.0,1013.0,0,1.8,259,553.0,476.0,77.0,553.0
2020-11-08 13:00:00,21.5,60,13.5,22.1,0.0,0.0,0.0,1012.4,0,3.3,229,545.0,469.0,76.0,545.0
2020-11-08 14:00:00,21.8,60,13.8,22.5,0.0,0.0,0.0,1012.3,0,3.6,225,478.0,405.0,73.0,478.0
2020-11-08 15:00:00,21.8,61,14.0,22.8,0.0,0.0,0.0,1012.1,0,1.9,202,359.0,294.0,65.0,359.0
2020-11-08 16:00:00,20.3,76,15.9,22.0,0.0,0.0,0.0,1011.8,0,2.2,99,205.0,153.0,52.0,205.0
2020-11-08 17:00:00,16.5,87,14.3,17.0,0.0,0.0,0.0,1011.7,0,6.8,108,50.0,31.0,19.0,50.0
2020-11-08 18:00:00,15.0,91,13.5,14.9,0.0,0.0,0.0,1011.8,0,9.0,127,0.0,0.0,0.0,0.0
2020-11-08 19:00:00,15.5,85,12.9,15.4,0.0,0.0,0.0,1011.9,0,6.6,139,0.0,0.0,0.0,0.0
2020-11-08 20:00:00,15.0,88,13.1,14.6,0.0,0.0,0.0,1012.0,43,9.5,143,0.0,0.0,0.0,0.0
2020-11-08 21:00:00,14.4,92,13.1,14.1,0.0,0.0,0.0,1012.1,82,9.0,175,0.0,0.0,0.0,0.0
2020-11-08 22:00:00,14.2,92,13.0,13.8,0.0,0.0,0.0,1012.3,36,9.1,189,0.0,0.0,0.0,0.0
2020-11-08 23:00:00,13.3,95,12.5,13.1,0.0,0.0,0.0,1012.1,41,6.9,189,0.0,0.0,0.0,0.0
2020-11-09 00:00:00,12.2,97,11.7,11.7,0.0,0.0,0.0,1011.8,75,7.0,201,0.0,0.0,0.0,0.0
2020-11-09 01:00:00,11.3,99,11.1,10.2,0.0,0.0,0.0,1011.6,20,9.8,216,0.0,0.0,0.0,0.0
2020-11-09 02:00:00,11.3,99,11.1,10.3,0.0,0.0,0.0,1011.2,0,9.4,230,0.0,0.0,0.0,0.0
2020-11-09 03:00:00,11.7,99,11.6,11.1,0.0,0.0,0.0,1011.0,0,7.6,265,0.0,0.0,0.0,0.0
2020-11-09 04:00:00,11.1,100,11.1,10.5,0.0,0.0,0.0,1010.9,50,6.7,286,0.0,0.0,0.0,0.0
2020-11-09 05:00:00,12.2,100,12.1,12.0,0.0,0.0,0.0,1011.2,100,5.5,259,0.0,0.0,0.0,0.0
2020-11-09 06:00:00,10.9,100,10.9,10.3,0.0,0.0,0.0,1011.5,100,6.2,249,0.0,0.0,0.0,0.0
2020-11-09 07:00:00,9.9,100,9.8,9.0,0.0,0.0,0.0,1012.1,100,5.8,277,1.0,0.0,1.0,1.0
2020-11-09 08:00:00,11.8,97,11.4,11.5,0.0,0.0,0.0,1012.6,100,5.1,274,57.0,11.0,46.0,57.0
2020-11-09 09:00:00,13.6,98,13.3,14.3,0.0,0.0,0.0,1012.6,100,2.7,247,158.0,30.0,128.0,158.0
2020-11-09 10:00:00,16.1,93,15.0,17.4,0.0,0.0,0.0,1012.5,89,2.8,230,297.0,128.0,169.0,297.0
2020-11-09 11:00:00,18.6,85,16.1,20.2,0.0,0.0,0.0,1012.2,6,3.4,198,427.0,256.0,171.0,427.0
2020-11-09 12:00:00,20.9,75,16.4,22.3,0.0,0.0,0.0,1011.4,31,5.8,202,537.0,453.0,84.0,537.0
2020-11-09 13:00:00,22.1,68,15.9,22.9,0.0,0.0,0.0,1010.5,38,8.5,208,500.0,385.0,115.0,500.0
2020-11-09 14:00:00,22.2,65,15.4,22.8,0.0,0.0,0.0,1009.8,30,8.4,190,408.0,293.0,115.0,408.0
2020-11-09 15:00:00,21.8,66,15.2,22.2,0.0,0.0,0.0,1009.2,2,8.8,168,328.0,231.0,97.0,328.0
2020-11-09 16:00:00,20.2,76,15.8,20.9,0.0,0.0,0.0,1009.2,1,8.7,156,198.0,145.0,53.0,198.0
2020-11-09 17:00:00,17.8,85,15.2,18.1,0.0,0.0,0.0,1008.8,0,10.0,165,47.0,29.0,18.0,47.0
2020-11-09 18:00:00,16.7,87,14.5,16.7,0.0,0.0,0.0,1008.9,0,9.8,163,0.0,0.0,0.0,0.0
2020-11-09 19:00:00,15.8,89,14.0,15.6,0.0,0.0,0.0,1009.1,0,10.6,156,0.0,0.0,0.0,0.0
2020-11-09 20:00:00,15.4,90,13.8,14.9,0.0,0.0,0.0,1009.1,0,11.5,166,0.0,0.0,0.0,0.0
2020-11-09 21:00:00,14.8,89,13.0,13.9,0.0,0.0,0.0,1009.0,0,12.4,170,0.0,0.0,0.0,0.0
2020-11-09 22:00:00,14.4,88,12.5,13.4,0.0,0.0,0.0,1009.1,0,12.2,178,0.0,0.0,0.0,0.0
2020-11-09 23:00:00,14.0,90,12.5,13.2,0.0,0.0,0.0,1008.6,0,10.8,180,0.0,0.0,0.0,0.0
2020-11-10 00:00:00,13.4,93,12.3,12.7,0.0,0.0,0.0,1008.1,0,9.7,180,0.0,0.0,0.0,0.0
2020-11-10 01:00:00,13.0,95,12.2,12.6,0.0,0.0,0.0,1008.0,0,8.0,188,0.0,0.0,0.0,0.0
2020-11-10 02:00:00,13.0,95,12.2,12.5,0.0,0.0,0.0,1007.7,1,8.0,190,0.0,0.0,0.0,0.0
